Diametre;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
15;0,03;0,04;0,04;0,04;0,05;0,05;0,05;0,06;0,06;0,06;0,07;0,07;0,08;0,08;0,08;0,09;0,09;0,09;0,10;0,10
20;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3
25;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,4;0,4;0,4;0,4;0,5;0,5;0,5;0,5;0,5;0,6;0,6;0,6
30;0,3;0,4;0,4;0,4;0,5;0,5;0,5;0,6;0,6;0,6;0,7;0,7;0,8;0,8;0,8;0,9;0,9;0,9;1,0;1,0
35;0,5;0,5;0,6;0,6;0,7;0,8;0,8;0,9;0,9;1,0;1,0;1,1;1,1;1,2;1,2;1,3;1,3;1,4;1,4;1,5
40;0,7;0,8;0,8;0,9;1,0;1,1;1,1;1,2;1,3;1,4;1,4;1,5;1,6;1,7;1,7;1,8;1,9;2,0;2,0;2,1
45;0,9;1,0;1,1;1,2;1,3;1,4;1,5;1,6;1,7;1,8;1,9;2,0;2,1;2,2;2,3;2,4;2,5;2,6;2,7;2,8
50;1,2;1,3;1,4;1,5;1,7;1,8;1,9;2,1;2,2;2,3;2,4;2,6;2,7;2,8;3,0;3,1;3,2;3,3;3,5;3,6
55;1,4;1,6;1,8;1,9;2,1;2,3;2,4;2,6;2,7;2,9;3,1;3,2;3,4;3,5;3,7;3,9;4,0;4,2;4,3;4,5
60;1,8;2,0;2,2;2,4;2,6;2,8;2,9;3,1;3,3;3,5;3,7;3,9;4,1;4,3;4,5;4,7;4,9;5,1;5,3;5,5
65;2,1;2,4;2,6;2,8;3,1;3,3;3,5;3,8;4,0;4,2;4,5;4,7;5,0;5,2;5,4;5,7;5,9;6,1;6,4;6,6
70;2,5;2,8;3,1;3,3;3,6;3,9;4,2;4,5;4,7;5,0;5,3;5,6;5,9;6,1;6,4;6,7;7,0;7,2;7,5;7,8
75;2,9;3,3;3,6;3,9;4,2;4,6;4,9;5,2;5,5;5,9;6,2;6,5;6,8;7,2;7,5;7,8;8,1;8,5;8,8;9,1
80;3,4;3,8;4,1;4,5;4,9;5,3;5,6;6,0;6,4;6,8;7,1;7,5;7,9;8,3;8,6;9,0;9,4;9,8;10,1;10,5
85;3,9;4,3;4,7;5,1;5,6;6,0;6,4;6,9;7,3;7,7;8,1;8,6;9,0;9,4;9,9;10,3;10,7;11,1;11,6;12,0
90;4,4;4,9;5,3;5,8;6,3;6,8;7,3;7,8;8,3;8,7;9,2;9,7;10,2;10,7;11,2;11,7;12,1;12,6;13,1;13,6
95;4,9;5,5;6,0;6,6;7,1;7,7;8,2;8,7;9,3;9,8;10,4;10,9;11,5;12,0;12,6;13,1;13,7;14,2;14,8;15,3
100;5,5;6,1;6,7;7,3;7,9;8,6;9,2;9,8;10,4;11,0;11,6;12,2;12,8;13,4;14,0;14,7;15,3;15,9;16,5;17,1
